dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
diggle_table_a2,0.9967741935483871,0.9290322580645162,0.9774193548387096,0.8709677419354838,0.5935483870967742,0.9870967741935484,3.15
fruitfly,0.048,0.016,0.008,0.048,0.008,0.024,2.11
machine_cpu,0.052497096399535426,0.02868757259001161,0.02392566782810685,0.043089430894308944,0.03844367015098722,0.05272938443670151,4.77
sleep,0.7269230769230769,0.7564102564102565,0.7243589743589743,0.6602564102564102,0.514102564102564,0.6628205128205128,1.18
servo,0.9336898395721924,0.9518716577540106,0.9518716577540107,0.9459893048128342,0.9459893048128343,0.9579322638146168,0.82
analcatdata_wildcat,0.41685606060606056,0.4787878787878788,0.4660984848484849,0.4727272727272728,0.42973484848484844,0.4727272727272728,1.84
wisconsin,0.010256410256410256,0.020647773279352227,0.03076923076923077,0.03090418353576248,0.020512820512820513,0.015384615384615385,2.7
strikes,0.020800000000000003,0.035199999999999995,0.036800000000000006,0.030400000000000003,0.0128,0.020800000000000003,28.52
cleveland,0.5116393442622951,0.5843715846994535,0.5710382513661202,0.5906557377049181,0.5873224043715848,0.5773770491803278,3.43
cpu,0.2965156794425087,0.12415795586527292,0.11475029036004644,0.16248548199767712,0.052380952380952375,0.23449477351916376,4.29
cholesterol,0.003333333333333333,0.023060109289617485,0.013224043715846994,0.003278688524590164,0.003333333333333333,0.009890710382513662,9.36
pbcseq,0.9532133676092546,0.9012853470437019,0.8406169665809768,0.8946015424164525,0.8622107969151671,0.9465295629820052,6.45
analcatdata_runshoes,0.19999999999999998,0.38333333333333336,0.35,0.35,0.3,0.33333333333333337,1.05
breastTumor,0.12601330913490622,0.16079854809437386,0.14688445251058682,0.1749546279491833,0.1366001209921355,0.15045372050816694,3.67
analcatdata_gsssexsurvey,0.6227822580645161,0.7733870967741936,0.7610887096774194,0.7487903225806452,0.6915322580645161,0.6792338709677419,1.75
hungarian,0.7619520748100526,0.8096434833430741,0.8232612507305669,0.8098188194038574,0.7382232612507306,0.8334307422559906,2.85
rabe_131,0.9199999999999999,0.8200000000000001,0.8,0.8400000000000001,0.7200000000000001,0.8200000000000001,0.81
mu284,0.27819548872180444,0.1019423558897243,0.16547619047619047,0.2006265664160401,0.10206766917293233,0.2533208020050125,5.08
rabe_148,0.9549450549450549,0.9395604395604396,0.9549450549450549,0.9549450549450549,0.9395604395604396,0.9406593406593406,0.6
colleges_aaup,0.7562194760988604,0.8200162794139411,0.7976098860441024,0.8277490010359626,0.7407651324552317,0.8044657392333876,9.28
analcatdata_negotiation,0.47894736842105257,0.4666666666666666,0.47719298245614034,0.5087719298245614,0.4222222222222222,0.4666666666666667,1.39
sleuth_case2002,0.27241379310344827,0.34781609195402297,0.2519540229885058,0.36068965517241375,0.22528735632183908,0.26574712643678167,1.93
visualizing_galaxy,0.027932692307692308,0.04326923076923077,0.04028846153846154,0.02783653846153846,0.0125,0.04341346153846154,12.15
arsenic-male-bladder,0.7567567567567568,0.8479568854568855,0.8408301158301159,0.8497586872586872,0.8263835263835263,0.8461711711711711,3.63
arsenic-female-bladder,0.7727477477477478,0.8550997425997424,0.8193371943371943,0.8533140283140283,0.8192728442728443,0.8461711711711711,3.37
arsenic-female-lung,0.6906048906048905,0.8032335907335908,0.7889478764478765,0.8014478764478763,0.7027348777348777,0.8086229086229085,3.76
arsenic-male-lung,0.6958976833976833,0.776399613899614,0.75492277992278,0.776399613899614,0.6797458172458172,0.7745978120978122,3.64
spectrometer,0.42195380003526717,0.43692470463763006,0.4595662140715923,0.4745194850996297,0.2581202609769,0.46333979897725264,16.41
braziltourism,0.6359976491331178,0.7669703203056126,0.7523655598001762,0.762062885689098,0.7013517484572436,0.6965324713488099,4.09
postoperative-patient-data,0.6333333333333334,0.7,0.6555555555555556,0.6888888888888889,0.6,0.6,1.06
zoo,0.9504761904761905,0.9404761904761905,0.940952380952381,0.9604761904761905,0.9504761904761905,0.9504761904761905,0.67
squash-stored,0.6309090909090909,0.6981818181818181,0.5981818181818181,0.5763636363636364,0.5727272727272728,0.6345454545454545,0.69
autos,0.7463414634146343,0.6829268292682927,0.6195121951219513,0.6878048780487804,0.5902439024390245,0.7853658536585366,1.62
squash-unstored,0.790909090909091,0.7690909090909092,0.7090909090909091,0.8290909090909091,0.790909090909091,0.8672727272727272,0.59
